FileId,NW_Sky,NW_Ground,NW_Platform,NW_Collectible,NE_Sky,NE_Ground,NE_Platform,NE_Collectible,SW_Sky,SW_Ground,SW_Platform,SW_Collectible,SE_Sky,SE_Ground,SE_Platform,SE_Collectible,Forward,Turn,Jump
100,0.0,0.0,0.0,0.0,0.9825783972125436,0.0,0.017421602787456445,0.0,0.043557168784029036,0.6442831215970962,0.3121597096188748,0.0,0.10600706713780975,0.8127208480565361,0.08127208480565414,0.0,1,0,0
101,0.0,0.0,0.0,0.0,0.982547993019197,0.0,0.017452006980802865,0.0,0.04,0.5963636363636363,0.36363636363636365,0.0,0.10619469026548672,0.8053097345132744,0.08849557522123894,0.0,1,0,0
102,0.0,0.0,0.0,0.0,0.9808027923211171,0.0,0.019197207678882923,0.0,0.03642987249544627,0.5428051001821493,0.4207650273224044,0.0,0.10657193605683907,0.7975133214920056,0.09591474245115517,0.0,1,2,0
103,0.0,0.0,0.0,0.0,0.9789103690685413,0.0,0.0210896309314587,0.0,0.03284671532846738,0.4781021897810218,0.48905109489051085,0.0,0.10288808664259963,0.7888086642599271,0.10830324909747327,0.0,1,0,0
104,0.0,0.0,0.0,0.0,0.9754385964912281,0.0,0.02456140350877193,0.0,0.03024911032028487,0.38790035587188626,0.5818505338078288,0.0,0.10363636363636447,0.7781818181818165,0.11818181818181914,0.0,1,0,0
105,0.0,0.0,0.0,0.0,0.9685314685314685,0.0,0.03146853146853147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010948905109489052,0.14051094890510948,0.8485401459854015,0.0,0.10695187165775408,0.7254901960784315,0.16755793226381446,0.0,1,0,1
107,0.6874999999999987,0.0,0.250000000000001,0.0625000000000004,0.0,0.0,0.0,0.0,0.0,0.021897810218978103,0.9781021897810219,0.0,0.0,0.0,0.0,0.0,1,0,1
108,0.6211849192100538,0.0,0.2980251346499102,0.0807899461400359,0.9421052631578944,0.0,0.05789473684210548,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1
109,0.5467889908256881,0.0,0.381651376146789,0.07155963302752294,0.9314586994727599,0.0,0.06854130052724004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2,1
110,0.43838028169014087,0.0,0.4841549295774648,0.07746478873239436,0.9092526690391453,0.0,0.09074733096085481,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.10052910052910052,0.47795414462081126,0.42151675485008816,0.0,1,0,0
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04595588235294118,0.10845588235294118,0.8455882352941176,0.0,0.0975177304964539,0.33156028368794327,0.5709219858156028,0.0,0,0,0
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04595588235294118,0.10845588235294118,0.8455882352941176,0.0,0.0975177304964539,0.33156028368794327,0.5709219858156028,0.0,0,0,0
114,1.0,0.0,0.0,0.0,0.9073083778966129,0.0,0.0,0.09269162210338712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
115,1.0,0.0,0.0,0.0,0.913427561837455,0.0,0.0,0.08657243816254502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
116,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19538188277087076,0.5026642984014205,0.3019538188277088,0.0,0.19294990723562264,0.08719851576994485,0.647495361781074,0.07235621521335849,1,1,1
117,0.0,0.0,0.0,0.0,0.9681978798586571,0.0,0.0,0.031802120141342864,0.20871143375680581,0.4319419237749546,0.35934664246823955,0.0,0.23120300751879708,0.21616541353383473,0.4699248120300747,0.08270676691729355,0,0,0
118,0.9930069930069931,0.0,0.0,0.00699300699300691,0.9912739965095986,0.0,0.0,0.008726003490401396,0.2047970479704797,0.4059040590405904,0.35977859778597787,0.02952029520295203,0.0,0.0,0.0,0.0,1,0,0
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19285714285714287,0.4089285714285714,0.2517857142857143,0.14642857142857144,0.31351351351351353,0.48828828828828813,0.19819819819819834,0.0,1,0,0
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22011385199241,0.4383301707779878,0.1726755218216322,0.16888045540796998,0.3291139240506329,0.5714285714285714,0.09945750452079566,0.0,1,2,0
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3471971066907776,0.569620253164557,0.08318264014466546,0.0,0,0,0
122,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.26428571428571573,0.5874999999999979,0.0375000000000002,0.1107142857142863,0.0,0.0,0.0,0.0,0,0,0
123,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.27385159010600707,0.6996466431095406,0.026501766784452298,0.0,0.0,0.0,0.0,0.0,1,0,0
124,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.28672566371681435,0.7132743362831857,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
