FileId,NW_Sky,NW_Ground,NW_Platform,NW_Collectible,N_Sky,N_Ground,N_Platform,N_Collectible,NE_Sky,NE_Ground,NE_Platform,NE_Collectible,W_Sky,W_Ground,W_Platform,W_Collectible,C_Sky,C_Ground,C_Platform,C_Collectible,E_Sky,E_Ground,E_Platform,E_Collectible,SW_Sky,SW_Ground,SW_Platform,SW_Collectible,S_Sky,S_Ground,S_Platform,S_Collectible,SE_Sky,SE_Ground,SE_Platform,SE_Collectible,Forward,Turn,Jump
100,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9610565985265294,0.03894340147347062,0.0,0.0,0.8550350867844829,0.08411072952908873,0.022366328726121976,0.03848785496030627,0.8595117634236406,0.14048823657635937,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6995573133700312,0.30044268662996876,0.0,0.0,1.0,0.0,0.0,1,0,1
101,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9726789254323663,0.027321074567633743,0.0,0.0,0.8691185236517841,0.0818499899697222,0.00963633355503142,0.03939515282346231,0.8670880847891713,0.13291191521082868,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6786746138896853,0.3213253861103147,0.0,0.0,1.0,0.0,0.0,1,0,1
102,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9825772136031917,0.01742278639680823,0.0,0.0,0.8782514107279987,0.07966049159065816,0.0011377939334318212,0.04095030374791132,0.8760984203987489,0.12390157960125103,0.0,0.0,0.004560167439375724,0.9954398325606243,0.0,0.0,0.0,0.6684311039900916,0.3264781666957877,0.005090729314120573,0.0,1.0,0.0,0.0,1,0,1
103,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9897723305740784,0.01022766942592155,0.0,0.0,0.8900087968617367,0.0722111806808004,0.0,0.0377800224574628,0.8827101134309852,0.11728988656901482,0.0,0.0,0.01014763571163349,0.9898523642883665,0.0,0.0,0.0,0.6898191660576175,0.29804080449492265,0.012140029447459968,0.0,1.0,0.0,0.0,1,0,1
104,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9945854971101179,0.005414502889882059,0.0,0.0,0.9042484759623162,0.06122374032273256,0.0,0.03452778371495126,0.8890173977219971,0.11098260227800294,0.0,0.0,0.017970237211140747,0.9820297627888592,0.0,0.0,0.0,0.6953550827085334,0.2847717903627497,0.019873126928716824,0.0,1.0,0.0,0.0,1,0,1
105,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9975984798940435,0.002401520105956527,0.0,0.0,0.9159590910791592,0.053429868126801956,0.0,0.03061104079403898,0.8960772058158382,0.10392279418416185,0.0,0.0,0.02635264088840521,0.9736473591115947,0.0,0.0,0.0,0.6698881978810246,0.30127559235466067,0.02883620976431481,0.0,1.0,0.0,0.0,1,0,0
106,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9253504730362485,0.04625064710081875,0.0,0.028398879862932654,0.9022830350006047,0.09771696499939522,0.0,0.0,0.0360159307646328,0.9639840692353672,0.0,0.0,0.0,0.6374525773928106,0.3276787204338858,0.03486870217330361,0.0,1.0,0.0,0.0,1,0,0
107,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9358836125705413,0.03934274083185475,0.0,0.024773646597603824,0.9078066028376502,0.09219339716234981,0.0,0.0,0.04495473632115021,0.9550452636788498,0.0,0.0,0.0,0.6507892844114717,0.30380654172081784,0.04540417386771063,0.0,1.0,0.0,0.0,1,0,0
108,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9440292436220135,0.034407621257473056,0.0,0.021563135120513537,0.9139056337336059,0.08609436626639413,0.0,0.0,0.05617865283002882,0.9438213471699712,0.0,0.0,0.0,0.656005029328941,0.29021441242750967,0.053780558243549305,0.0,1.0,0.0,0.0,1,0,0
109,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9516721791820947,0.029448049084557126,0.0,0.0188797717333482,0.9189740547862604,0.08102594521373968,0.0,0.0,0.06688507147988515,0.9331149285201149,0.0,0.0,0.0,0.6567704568051728,0.2808637298662851,0.06236581332854217,0.0,1.0,0.0,0.0,1,0,0
110,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9600544904497121,0.024993211592521596,0.0,0.014952297957766267,0.9241794985477753,0.07582050145222471,0.0,0.0,0.07747225970866924,0.9225277402913307,0.0,0.0,0.0,0.6592744437324795,0.27076242766108466,0.06996312860643582,0.0,1.0,0.0,0.0,1,0,0
111,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.965073561924662,0.02165484902438588,0.0,0.01327158905095219,0.9257595494834489,0.07424045051655118,0.0,0.0,0.08561632071628719,0.9143836792837128,0.0,0.0,0.0036462955174177683,0.6598473429278071,0.2597097908266956,0.0767965707280795,0.0,0.9969889911723934,0.003011008827606551,0.0,1,0,0
112,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9701830051468789,0.018827690003505246,0.0,0.01098930484961575,0.9296876254376084,0.07031237456239155,0.0,0.0,0.09332235112401084,0.9066776488759892,0.0,0.0,0.0058948348377321795,0.6528611236304919,0.25846633637263705,0.08277770515913883,0.0007489137107699073,0.9965606208481621,0.002690465441067878,0.0,1,0,0
113,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9741217287592588,0.017754979601894736,0.0,0.008123291638846333,0.9318540274693067,0.0681459725306933,0.0,0.0,0.10179094156790498,0.898209058432095,0.0,0.0,0.007997268932614918,0.6435483561987606,0.2571803624539942,0.09127401241463018,0.0007403738478255108,0.9897241788056467,0.00953544734652777,0.0,1,0,0
114,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9764218251050356,0.016034025187607197,0.0,0.007544149707357237,0.9343481071219548,0.06565189287804521,0.0,0.0,0.10884198577295352,0.8911580142270465,0.0,0.0,0.00970616214564885,0.631062569072741,0.26916148495330144,0.09006978382830864,0.0007435765338776599,0.990469080296871,0.008787343169251383,0.0,1,0,0
115,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9764218251050356,0.016034025187607197,0.0,0.007544149707357237,0.9343481071219548,0.06565189287804521,0.0,0.0,0.10884198577295352,0.8911580142270465,0.0,0.0,0.00970616214564885,0.631062569072741,0.26916148495330144,0.09006978382830864,0.0007435765338776599,0.990469080296871,0.008787343169251383,0.0,1,0,0
116,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9815305350680322,0.013808968466205798,0.0,0.004660496465762038,0.9372517107244731,0.06274828927552684,0.0,0.0,0.11550282843718074,0.8844971715628192,0.0,0.0,0.013959605967035516,0.6320097452792174,0.2530836532958686,0.10094699545787854,0.0014896516610552683,0.9840379446129719,0.014472403725972874,0.0,1,0,0
117,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9838248359174125,0.012096873128427664,0.0,0.0040782909541598085,0.9372121783464237,0.06278782165357634,0.0,0.0,0.1184340912869048,0.8815659087130953,0.0,0.0,0.016006943965056274,0.6361461269240313,0.24435776610799584,0.10348916300291676,0.0014822540076675206,0.9802266572260673,0.018291088766265298,0.0,1,0,0
118,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.983821197697425,0.012098609678075007,0.0,0.004080192624499934,0.937193445611285,0.06280655438871491,0.0,0.0,0.12138315062836548,0.8786168493716345,0.0,0.0,0.016165202705463153,0.6089905625113373,0.2712380554507332,0.10360617933246631,0.0007447900953777845,0.9772237731404599,0.022031436764162315,0.0,1,0,1
119,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9838116687818641,0.012106381884809624,0.0,0.004081949333326264,0.9360029519834847,0.06399704801651533,0.0,0.0,0.12177273905225595,0.8782272609477441,0.0,0.0,0.016338901749101697,0.579515669590763,0.30131648238315295,0.10282894627698239,0.0007471806201116635,0.9727217514499495,0.02653106792993882,0.0,1,0,1
120,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9837889415588136,0.012121778973541511,0.0,0.004089279467644875,0.935382973398226,0.06461702660177401,0.0,0.0,0.12224816083844262,0.8777518391615574,0.0,0.0,0.016245582023360794,0.570077819820768,0.3084510529455941,0.10522554521027695,0.0007511792442667823,0.97233623574153,0.026912585014203304,0.0,1,0,1
121,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9831967890940552,0.011537524397795824,0.0,0.00526568650814896,0.9341784709122923,0.06582152908770772,0.0,0.0,0.121896666687237,0.878103333312763,0.0,0.0,0.015017743135528708,0.5474656178946306,0.3223937380321069,0.11512290093773389,0.0,0.967572107213862,0.032427892786138036,0.0,1,0,1
122,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.981462290470334,0.013266236722173972,0.0,0.005271472807492003,0.9315033859396558,0.06849661406034427,0.0,0.0,0.11916963646625116,0.8808303635337489,0.0,0.0,0.01472741252946857,0.5394175572859073,0.3277293230731107,0.11812570711151334,0.0,0.9605345192302431,0.039465480769756776,0.0,1,0,1
