FileId,NW_Sky,NW_Ground,NW_Platform,NW_Collectible,NE_Sky,NE_Ground,NE_Platform,NE_Collectible,SW_Sky,SW_Ground,SW_Platform,SW_Collectible,SE_Sky,SE_Ground,SE_Platform,SE_Collectible,Forward,Turn,Jump
581,0.9858657243816255,0.0,0.007067137809187279,0.007067137809187279,0.9895104895104896,0.0,0.0052447552447553,0.0052447552447553,0.0674955595026643,0.8898756660746003,0.04262877442273535,0.0,0.0,0.0,0.0,0.0,1,0,0
582,0.0,0.0,0.0,0.0,0.9734982332155475,0.0,0.010600706713781008,0.015901060070671512,0.0773286467486819,0.9015817223198594,0.0210896309314587,0.0,0.07194244604316627,0.8633093525179841,0.06474820143884964,0.0,1,0,0
583,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08421052631579,0.91578947368421,0.0,0.0,0.06976744186046512,0.8372093023255814,0.09302325581395349,0.0,1,1,0
584,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0858143607705771,0.9141856392294229,0.0,0.0,0.06797853309481176,0.8193202146690531,0.11270125223613511,0.0,1,1,0
585,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08611599297012303,0.9138840070298769,0.0,0.0,0.05693950177935943,0.7953736654804271,0.14768683274021352,0.0,1,1,0
586,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08611599297012303,0.9138840070298769,0.0,0.0,0.06363636363636396,0.8127272727272719,0.12363636363636421,0.0,1,1,0
587,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08480565371024845,0.9151943462897515,0.0,0.0,0.06859205776173286,0.8086642599277978,0.12274368231046931,0.0,1,1,0
588,0.9965156794425087,0.0,0.0034843205574913187,0.0,0.0,0.0,0.0,0.0,0.07956600361663634,0.9077757685352624,0.012658227848101234,0.0,0.07610619469026549,0.8106194690265487,0.11327433628318584,0.0,1,1,0
589,0.9842381786339753,0.0,0.01401050788091078,0.0017513134851138475,0.0,0.0,0.0,0.0,0.0692167577413479,0.8724954462659381,0.058287795992714025,0.0,0.0784313725490196,0.8360071301247772,0.0855614973262032,0.0,1,0,0
590,0.0,0.0,0.0,0.0,0.9895833333333333,0.0,0.01041666666666683,0.0,0.058823529411764705,0.8382352941176471,0.10294117647058823,0.0,0.07608695652173977,0.8804347826086947,0.043478260869565584,0.0,1,0,0
591,0.0,0.0,0.0,0.0,0.9895833333333333,0.0,0.010416666666666786,0.0,0.05714285714285714,0.8142857142857143,0.12857142857142856,0.0,0.07567567567567568,0.8756756756756757,0.04864864864864865,0.0,1,2,0
592,0.0,0.0,0.0,0.0,0.989547038327526,0.0,0.010452961672473976,0.0,0.05524861878453092,0.8121546961325949,0.1325966850828742,0.0,0.07352941176470588,0.8768382352941176,0.04963235294117647,0.0,1,2,0
593,0.0,0.0,0.0,0.0,0.9894736842105262,0.0,0.010526315789473797,0.0,0.0634920634920638,0.777777777777777,0.1587301587301592,0.0,0.07326007326007326,0.8717948717948718,0.054945054945054944,0.0,1,2,0
594,0.0,0.0,0.0,0.0,0.9894736842105263,0.0,0.010526315789473684,0.0,0.07936507936507936,0.7619047619047619,0.15873015873015872,0.0,0.1001788908765653,0.8461538461538461,0.05366726296958855,0.0,1,2,0
595,0.0,0.0,0.0,0.0,0.9860139860139859,0.0,0.013986013986014042,0.0,0.0743362831858412,0.7504424778761046,0.17522123893805427,0.0,0.10416666666666667,0.8194444444444444,0.0763888888888889,0.0,1,2,0
596,0.9644760213143868,0.0,0.024866785079929194,0.010657193605683941,0.0,0.0,0.0,0.0,0.06148282097649186,0.7992766726943942,0.13924050632911392,0.0,0.08586762075134206,0.7728085867620744,0.1413237924865836,0.0,1,0,0
597,0.9842931937172775,0.0,0.015706806282722512,0.0,0.0,0.0,0.0,0.0,0.07220216606498234,0.8447653429602879,0.0830324909747297,0.0,0.06533575317604355,0.6896551724137931,0.24500907441016334,0.0,1,0,0
598,0.9947916666666665,0.0,0.005208333333333388,0.0,0.0,0.0,0.0,0.0,0.08273381294964127,0.8956834532374087,0.021582733812949898,0.0,0.03860294117647059,0.5698529411764706,0.3915441176470588,0.0,1,1,0
599,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08896797153024912,0.9110320284697508,0.0,0.0,0.016042780748663103,0.42245989304812837,0.5614973262032086,0.0,1,1,0
600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09042553191489336,0.9095744680851066,0.0,0.0,0.021897810218978166,0.4324817518248188,0.5456204379562031,0.0,1,1,0
601,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08928571428571452,0.9107142857142855,0.0,0.0,0.010989010989010962,0.3205128205128188,0.6684981684981703,0.0,1,1,0
602,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09057301293900286,0.9094269870609972,0.0,0.0,0.0,0.21352313167259787,0.7864768683274022,0.0,1,1,0
603,0.972222222222222,0.0,0.02777777777777803,0.0,0.0,0.0,0.0,0.0,0.08362989323843496,0.79003558718861,0.12633451957295494,0.0,0.016042780748663103,0.24955436720142601,0.7344028520499108,0.0,1,1,0
604,0.9436619718309854,0.0,0.0563380281690146,0.0,0.0,0.0,0.0,0.0,0.08391608391608392,0.6363636363636364,0.27972027972027974,0.0,0.03214285714285736,0.29285714285714487,0.6749999999999979,0.0,1,0,0
605,0.8324324324324308,0.0,0.1171171171171181,0.05045045045045087,0.0,0.0,0.0,0.0,0.054249547920433995,0.4050632911392405,0.5406871609403255,0.0,0.04687500000000033,0.3541666666666677,0.5989583333333319,0.0,1,0,0
606,0.7852112676056319,0.0,0.1584507042253535,0.05633802816901458,0.0,0.0,0.0,0.0,0.047619047619047616,0.31746031746031744,0.6349206349206349,0.0,0.03645833333333349,0.25520833333333354,0.708333333333333,0.0,1,0,1
607,0.7214285714285692,0.0,0.2125000000000017,0.0660714285714291,0.0,0.0,0.0,0.0,0.03296703296703297,0.21978021978021978,0.7472527472527473,0.0,0.02189781021897804,0.1459854014598533,0.8321167883211686,0.0,1,0,1
608,0.6345811051693404,0.0,0.28520499108734404,0.08021390374331551,0.5606326889279422,0.0,0.32337434094903444,0.11599297012302352,0.01639344262295082,0.1092896174863388,0.8743169398907104,0.0,0.0,0.0,0.0,0.0,1,2,1
